Symbol,Name,"Wtd Alpha",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
TER,"Teradyne Inc",+40.90,144.22,-0.37,-0.26%,147.9,97.48,+45.21%,2021-11-05
TFC,"Truist Financial Corp",+35.52,64.29,0.53,+0.83%,65.42,42.81,+43.09%,2021-11-05
TFX,"Teleflex Inc",-9.22,353.31,6.85,+1.98%,449.38,334.18,+4.76%,2021-11-05
TGT,"Target Corp",+50.39,254.27,-6.17,-2.37%,267.06,154.75,+60.29%,2021-11-05
TJX,"TJX Companies",+16.67,71.2,1.46,+2.09%,76.16,53.53,+30.38%,2021-11-05
TMO,"Thermo Fisher Scientific Inc",+33.42,616.8,-22.96,-3.59%,643.52,433.52,+19.82%,2021-11-05
TMUS,"T-Mobile US",-8.15,122.67,0.02,+0.02%,150.2,114.69,+4.61%,2021-11-05
TPR,"Tapestry Inc",+45.76,42.51,0.54,+1.29%,49.67,24.12,+72.04%,2021-11-05
TRMB,"Trimble Navigation",+39.42,86.38,-0.23,-0.27%,96.49,55.22,+54.72%,2021-11-05
TROW,"T Rowe Price Group",+53.19,221.07,1.44,+0.66%,224.55,133.06,+60.92%,2021-11-05
TRV,"The Travelers Companies Inc",+16.30,159.6,3.1,+1.98%,163.29,126.57,+25.17%,2021-11-05
TSCO,"Tractor Supply Company",+64.01,220.05,1.98,+0.91%,220.46,127.78,+58.33%,2021-11-05
TSLA,"Tesla Inc",+193.14,1222.09,-7.82,-0.64%,1243.49,396.03,+178.96%,2021-11-05
TSN,"Tyson Foods",+28.44,81.56,0.49,+0.60%,83.76,56.91,+41.33%,2021-11-05
TT,"Trane Technologies Plc",+21.54,184.69,3.79,+2.10%,207.06,137.08,+30.87%,2021-11-05
TTWO,"Take-Two Interacti",+15.23,187.2,-5.71,-2.96%,214.91,144.58,+10.98%,2021-11-05
TWTR,"Twitter Inc",+0.24,53.15,-0.53,-0.99%,80.75,41.61,+21.60%,2021-11-05
TXN,"Texas Instruments",+19.70,193.4,2.29,+1.20%,202.26,151.02,+24.33%,2021-11-05
TXT,"Textron Inc",+72.83,77.44,1.42,+1.87%,78,38.41,+99.74%,2021-11-05
TYL,"Tyler Technologies",+32.53,533.1,-6.54,-1.21%,549.08,372.8,+30.06%,2021-11-05
UA,"Under Armour Inc Cl C",+54.09,21.34,-0.77,-3.48%,23,12.44,+61.91%,2021-11-05
UAA,"Under Armour",+55.90,25.02,-0.91,-3.51%,27.27,14.05,+67.13%,2021-11-05
UAL,"United Airlines Holdings Inc",+28.58,52.71,3.57,+7.26%,63.7,34.2,+49.11%,2021-11-05
UDR,"United Dominion Realty Trust",+39.66,54.81,0.66,+1.22%,56.45,33.4,+61.92%,2021-11-05
UHS,"Universal Health Services",-8.21,129.88,3.68,+2.92%,165,116.5,+10.24%,2021-11-05
ULTA,"Ulta Beauty Inc",+46.47,391.85,10.78,+2.83%,414.98,210.01,+82.89%,2021-11-05
UNH,"Unitedhealth Group Inc",+31.81,455.81,-0.95,-0.21%,465.76,320.35,+28.61%,2021-11-05
UNP,"Union Pacific Corp",+19.09,238.83,1.63,+0.69%,243.91,189.04,+24.35%,2021-11-05
UPS,"United Parcel Service",+26.94,208.22,-2.5,-1.19%,220.24,154.76,+27.30%,2021-11-05
URI,"United Rentals",+81.17,391.96,5.99,+1.55%,396.97,187.98,+107.97%,2021-11-05
USB,"U.S. Bancorp",+34.72,60.69,0.41,+0.68%,63.01,38.9,+50.00%,2021-11-05
V,"Visa Inc",-0.40,216.67,7.89,+3.78%,252.67,192.81,+9.63%,2021-11-05
VFC,"V.F. Corp",-9.21,74.04,0.67,+0.91%,90.79,65.34,+3.64%,2021-11-05
VIAC,"Viacom CBS Cl B",+47.87,36.34,0.44,+1.23%,101.97,28.78,+16.14%,2021-11-05
VLO,"Valero Energy Corp",+44.66,77.92,1.57,+2.06%,84.95,37.97,+97.12%,2021-11-05
VMC,"Vulcan Materials Company",+39.57,196.06,2.08,+1.07%,200.46,132.85,+42.62%,2021-11-05
VNO,"Vornado Realty Trust",+13.15,44.59,0.97,+2.22%,50.91,30.26,+40.00%,2021-11-05
VRSK,"Verisk Analytics Inc",+12.83,214.59,-2.01,-0.93%,217.99,159.79,+10.38%,2021-11-05
VRSN,"Verisign Inc",+18.67,232.66,2.13,+0.92%,234.56,184.6,+11.68%,2021-11-05
VRTX,"Vertex Pharmaceutic",-13.82,192.85,-1.36,-0.70%,242.99,176.36,-12.13%,2021-11-05
VTR,"Ventas Inc",+4.69,53.98,1.19,+2.25%,61.09,39.26,+31.27%,2021-11-05
VTRS,"Viatris Inc",-12.60,13.73,0.05,+0.37%,18.86,12.94,N/A,2021-11-05
VZ,"Verizon Communications Inc",-14.54,52.24,0.39,+0.75%,61.95,50.86,-10.16%,2021-11-05
WAB,"Wabtec Corp",+35.29,94.21,2.24,+2.44%,94.75,60.95,+50.98%,2021-11-05
WAT,"Waters Corp",+35.56,343.06,-3.42,-0.99%,428.22,217.67,+57.58%,2021-11-05
WBA,"Walgreens Boots Alliance",+14.29,50.2,0.69,+1.39%,57.05,37.02,+33.76%,2021-11-05
WDC,"Western Digital Cp",+14.98,56.18,1.14,+2.07%,78.19,38.96,+43.50%,2021-11-05
WEC,"Wisconsin Energy Corp",-8.39,90.87,1.15,+1.28%,106.85,80.55,-10.56%,2021-11-05
WELL,"Welltower Inc",+27.56,84.6,4.13,+5.13%,89.8,54.83,+48.81%,2021-11-05
WFC,"Wells Fargo & Company",+89.89,50.44,-0.18,-0.36%,52.56,21.84,+125.88%,2021-11-05
WHR,"Whirlpool Corp",+12.23,218.14,-0.04,-0.02%,257.68,171.33,+9.75%,2021-11-05
WLTW,"Willis Towers WT",+8.43,231.31,0.25,+0.11%,271.87,185.67,+23.88%,2021-11-05
WM,"Waste Management",+33.80,159.89,-0.82,-0.51%,164.82,109.11,+33.59%,2021-11-05
WMB,"Williams Companies",+40.97,28.56,0.28,+0.99%,29.89,18.26,+49.45%,2021-11-05
WMT,"Wal-Mart Stores",+3.57,150.23,-1.05,-0.69%,153.66,126.28,+4.71%,2021-11-05
WRB,"W.R. Berkley Corp",+18.27,80.58,1.19,+1.50%,82.76,61.49,+28.11%,2021-11-05
WRK,"Westrock Company",+11.79,48.76,0.79,+1.65%,62.03,38.47,+24.29%,2021-11-05
WST,"West Pharmaceutical Services",+37.68,403.78,-29.29,-6.76%,475.35,253.85,+36.87%,2021-11-05
WU,"Western Union Company",-23.37,18.11,0.25,+1.40%,26.61,17.1,-13.27%,2021-11-05
WY,"Weyerhaeuser Company",+28.05,38.33,0.19,+0.50%,41.68,27.4,+33.09%,2021-11-05
WYNN,"Wynn Resorts Ltd",-5.11,96.92,5.82,+6.39%,143.88,77.51,+20.95%,2021-11-05
XEL,"XCEL Energy Inc",-12.48,63.8,0.73,+1.16%,76.44,57.23,-13.47%,2021-11-05
XLNX,"Xilinx Inc",+70.87,198.51,0.37,+0.19%,201,111.84,+52.78%,2021-11-05
XOM,"Exxon Mobil Corp",+67.85,65.02,0.61,+0.95%,66.08,32.62,+96.02%,2021-11-05
XRAY,"Dentsply Sirona Inc",+0.70,55.81,0.87,+1.58%,69.54,45.44,+19.74%,2021-11-05
XYL,"Xylem Inc",+35.74,131.01,1.27,+0.98%,138.78,90.55,+44.25%,2021-11-05
YUM,"Yum! Brands",+21.32,126.68,1.28,+1.02%,135.77,99.13,+25.80%,2021-11-05
ZBH,"Zimmer Biomet Holdings",-10.62,141.66,3.91,+2.84%,180.36,134.69,+1.66%,2021-11-05
ZBRA,"Zebra Technologies",+69.21,607.5,10.09,+1.69%,610.95,333.06,+78.61%,2021-11-05
ZION,"Zions Bancorp",+65.11,64.81,0.52,+0.81%,66.99,31.72,+98.93%,2021-11-05
ZTS,"Zoetis Inc Cl A",+35.85,216.73,-1.04,-0.48%,218.49,141.41,+26.82%,2021-11-05
